Flight_ID,Airline_Name,Origin_City,Origin_Country,Destination_City,Destination_Country,Distance_KM,Scheduled_Departure,Scheduled_Arrival,Flight_Status,Base_Fare_NGN
FL00001,Arik Air,Accra,Ghana,Johannesburg,South Africa,4922,2023-01-01 11:00:00,2023-01-01 17:51:00,On-Time,444706
FL00002,Arik Air,Dakar,Senegal,Dar es Salaam,Tanzania,6200,2023-01-01 19:00:00,2023-01-02 03:25:00,On-Time,556357
FL00003,Kenya Airways,Dar es Salaam,Tanzania,Abuja,Nigeria,4050,2023-01-02 15:30:00,2023-01-02 21:00:00,Delayed,391875
FL00004,Kenya Airways,Nairobi,Kenya,Cairo,Egypt,3637,2023-01-03 12:00:00,2023-01-03 17:19:00,On-Time,347853
FL00005,EgyptAir,Dakar,Senegal,Abuja,Nigeria,2600,2023-01-03 11:15:00,2023-01-03 15:15:00,Cancelled,259704
FL00006,Arik Air,Dakar,Senegal,Cairo,Egypt,4900,2023-01-04 15:15:00,2023-01-04 22:12:00,On-Time,440640
FL00007,EgyptAir,Nairobi,Kenya,Lagos,Nigeria,4182,2023-01-05 15:30:00,2023-01-05 21:26:00,Cancelled,403709
FL00008,Kenya Airways,Lusaka,Zambia,Enugu,Nigeria,4000,2023-01-06 08:15:00,2023-01-06 13:57:00,On-Time,381033
FL00009,Arik Air,Douala,Cameroon,Accra,Ghana,1200,2023-01-06 12:45:00,2023-01-06 15:09:00,Cancelled,117524
FL00010,Air Peace,Enugu,Nigeria,Lusaka,Zambia,4000,2023-01-07 07:15:00,2023-01-07 12:45:00,On-Time,380740
FL00011,EgyptAir,Lagos,Nigeria,Enugu,Nigeria,478,2023-01-08 06:15:00,2023-01-08 07:36:00,Delayed,56737
FL00012,Kenya Airways,Nairobi,Kenya,Cairo,Egypt,3637,2023-01-09 16:00:00,2023-01-09 21:09:00,Delayed,344608
FL00013,EgyptAir,Lagos,Nigeria,Cairo,Egypt,4020,2023-01-09 10:00:00,2023-01-09 15:19:00,On-Time,379646
FL00014,Kenya Airways,Johannesburg,South Africa,Dar es Salaam,Tanzania,2400,2023-01-10 06:15:00,2023-01-10 09:56:00,On-Time,237127
FL00015,Air Peace,Kano,Nigeria,Dar es Salaam,Tanzania,3800,2023-01-11 05:30:00,2023-01-11 10:33:00,On-Time,358207
FL00016,EgyptAir,Lagos,Nigeria,Dakar,Senegal,2832,2023-01-11 16:00:00,2023-01-11 20:22:00,On-Time,272015
FL00017,Arik Air,Douala,Cameroon,Casablanca,Morocco,3800,2023-01-12 16:30:00,2023-01-12 21:34:00,On-Time,339411
FL00018,Kenya Airways,Addis Ababa,Ethiopia,Enugu,Nigeria,3450,2023-01-13 21:15:00,2023-01-14 02:02:00,On-Time,334084
FL00019,EgyptAir,Lagos,Nigeria,Kano,Nigeria,1054,2023-01-14 14:15:00,2023-01-14 16:22:00,On-Time,102374
FL00020,Dana Air,Enugu,Nigeria,Dar es Salaam,Tanzania,4200,2023-01-14 20:45:00,2023-01-15 02:58:00,Delayed,366146
FL00021,Ethiopian Airlines,Dar es Salaam,Tanzania,Lusaka,Zambia,1500,2023-01-15 19:00:00,2023-01-15 21:25:00,On-Time,153512
FL00022,Ethiopian Airlines,Dar es Salaam,Tanzania,Port Harcourt,Nigeria,4100,2023-01-16 19:15:00,2023-01-17 01:08:00,Cancelled,407967
FL00023,Dana Air,Abuja,Nigeria,Enugu,Nigeria,330,2023-01-17 16:45:00,2023-01-17 17:57:00,On-Time,43878
FL00024,Ethiopian Airlines,Douala,Cameroon,Lusaka,Zambia,3600,2023-01-17 07:00:00,2023-01-17 11:55:00,Delayed,362945
FL00025,Kenya Airways,Cairo,Egypt,Addis Ababa,Ethiopia,2185,2023-01-18 09:15:00,2023-01-18 12:29:00,Delayed,216841
FL00026,Arik Air,Port Harcourt,Nigeria,Enugu,Nigeria,155,2023-01-19 11:15:00,2023-01-19 12:04:00,Delayed,28240
FL00027,Ethiopian Airlines,Accra,Ghana,Lusaka,Zambia,4500,2023-01-19 13:00:00,2023-01-19 19:22:00,Cancelled,447722
FL00028,EgyptAir,Lagos,Nigeria,Nairobi,Kenya,4182,2023-01-20 11:00:00,2023-01-20 17:08:00,On-Time,394360
FL00029,Arik Air,Abuja,Nigeria,Johannesburg,South Africa,4243,2023-01-21 22:00:00,2023-01-22 04:11:00,Cancelled,395840
FL00030,Arik Air,Kano,Nigeria,Nairobi,Kenya,3318,2023-01-22 08:15:00,2023-01-22 12:54:00,Delayed,300667
FL00031,Ethiopian Airlines,Lagos,Nigeria,Dakar,Senegal,2832,2023-01-22 18:15:00,2023-01-22 22:39:00,Delayed,277080
FL00032,Arik Air,Accra,Ghana,Lagos,Nigeria,397,2023-01-23 22:45:00,2023-01-24 00:03:00,Delayed,56950
FL00033,Kenya Airways,Nairobi,Kenya,Addis Ababa,Ethiopia,1165,2023-01-24 13:30:00,2023-01-24 15:16:00,On-Time,114332
FL00034,Dana Air,Abuja,Nigeria,Johannesburg,South Africa,4243,2023-01-25 06:00:00,2023-01-25 11:52:00,On-Time,373076
FL00035,Air Peace,Abuja,Nigeria,Port Harcourt,Nigeria,476,2023-01-25 19:15:00,2023-01-25 20:33:00,Delayed,59383
FL00036,Ethiopian Airlines,Cairo,Egypt,Port Harcourt,Nigeria,3821,2023-01-26 11:15:00,2023-01-26 16:49:00,On-Time,374759
FL00037,EgyptAir,Nairobi,Kenya,Accra,Ghana,4808,2023-01-27 16:00:00,2023-01-27 22:45:00,On-Time,463792
FL00038,Air Peace,Kano,Nigeria,Addis Ababa,Ethiopia,3020,2023-01-28 12:30:00,2023-01-28 16:49:00,On-Time,283504
FL00039,Ethiopian Airlines,Nairobi,Kenya,Dar es Salaam,Tanzania,524,2023-01-28 19:00:00,2023-01-28 20:30:00,On-Time,69264
FL00040,EgyptAir,Accra,Ghana,Abuja,Nigeria,1055,2023-01-29 07:30:00,2023-01-29 09:35:00,On-Time,114405
FL00041,Dana Air,Abuja,Nigeria,Cairo,Egypt,3224,2023-01-30 18:15:00,2023-01-30 22:50:00,On-Time,288726
FL00042,EgyptAir,Nairobi,Kenya,Accra,Ghana,4808,2023-01-30 21:30:00,2023-01-31 04:12:00,On-Time,462124
FL00043,Kenya Airways,Lagos,Nigeria,Johannesburg,South Africa,4590,2023-01-31 08:45:00,2023-01-31 14:54:00,On-Time,432502
FL00044,Ethiopian Airlines,Addis Ababa,Ethiopia,Dar es Salaam,Tanzania,1280,2023-02-01 22:15:00,2023-02-02 00:50:00,On-Time,142501
FL00045,Kenya Airways,Cairo,Egypt,Dar es Salaam,Tanzania,3600,2023-02-02 12:45:00,2023-02-02 18:13:00,On-Time,348355
FL00046,Air Peace,Lagos,Nigeria,Douala,Cameroon,1060,2023-02-02 08:00:00,2023-02-02 09:59:00,On-Time,105295
FL00047,Air Peace,Enugu,Nigeria,Dar es Salaam,Tanzania,4200,2023-02-03 06:00:00,2023-02-03 12:05:00,Delayed,399163
FL00048,Air Peace,Nairobi,Kenya,Abuja,Nigeria,3714,2023-02-04 10:00:00,2023-02-04 15:10:00,On-Time,342077
FL00049,Dana Air,Lagos,Nigeria,Johannesburg,South Africa,4590,2023-02-05 14:30:00,2023-02-05 20:53:00,Delayed,405067
FL00050,Arik Air,Port Harcourt,Nigeria,Abuja,Nigeria,476,2023-02-05 08:15:00,2023-02-05 09:30:00,Cancelled,57270
FL00051,EgyptAir,Nairobi,Kenya,Enugu,Nigeria,3800,2023-02-06 22:00:00,2023-02-07 03:19:00,On-Time,355160
FL00052,Arik Air,Douala,Cameroon,Abuja,Nigeria,870,2023-02-07 16:00:00,2023-02-07 17:49:00,Delayed,93825
FL00053,EgyptAir,Lagos,Nigeria,Addis Ababa,Ethiopia,3856,2023-02-07 06:15:00,2023-02-07 11:28:00,On-Time,367445
FL00054,Air Peace,Nairobi,Kenya,Enugu,Nigeria,3800,2023-02-08 14:00:00,2023-02-08 19:03:00,On-Time,366362
FL00055,Arik Air,Douala,Cameroon,Port Harcourt,Nigeria,480,2023-02-09 08:45:00,2023-02-09 10:03:00,Cancelled,56224
FL00056,Kenya Airways,Accra,Ghana,Lagos,Nigeria,397,2023-02-10 18:15:00,2023-02-10 19:41:00,On-Time,46838
FL00057,EgyptAir,Johannesburg,South Africa,Port Harcourt,Nigeria,4257,2023-02-10 20:15:00,2023-02-11 02:13:00,On-Time,414076
FL00058,Kenya Airways,Lagos,Nigeria,Kano,Nigeria,1054,2023-02-11 19:15:00,2023-02-11 20:54:00,On-Time,119942
FL00059,Ethiopian Airlines,Johannesburg,South Africa,Abuja,Nigeria,4243,2023-02-12 12:45:00,2023-02-12 18:32:00,Delayed,427188
FL00060,Kenya Airways,Johannesburg,South Africa,Douala,Cameroon,3900,2023-02-13 18:15:00,2023-02-13 23:50:00,On-Time,374130
FL00061,Dana Air,Enugu,Nigeria,Kano,Nigeria,650,2023-02-13 12:45:00,2023-02-13 13:59:00,On-Time,64100
FL00062,Arik Air,Accra,Ghana,Cairo,Egypt,4383,2023-02-14 20:15:00,2023-02-15 02:14:00,On-Time,402872
FL00063,Dana Air,Enugu,Nigeria,Johannesburg,South Africa,4100,2023-02-15 17:30:00,2023-02-15 23:28:00,On-Time,359906
FL00064,Ethiopian Airlines,Addis Ababa,Ethiopia,Port Harcourt,Nigeria,3570,2023-02-16 22:00:00,2023-02-17 03:12:00,On-Time,354490
FL00065,Ethiopian Airlines,Johannesburg,South Africa,Lusaka,Zambia,1160,2023-02-16 19:30:00,2023-02-16 21:41:00,On-Time,134886
FL00066,Arik Air,Dakar,Senegal,Enugu,Nigeria,3100,2023-02-17 17:00:00,2023-02-17 21:47:00,On-Time,296228
FL00067,Dana Air,Kano,Nigeria,Dar es Salaam,Tanzania,3800,2023-02-18 13:45:00,2023-02-18 19:08:00,On-Time,334140
FL00068,EgyptAir,Johannesburg,South Africa,Douala,Cameroon,3900,2023-02-18 19:30:00,2023-02-19 00:50:00,On-Time,370348
FL00069,EgyptAir,Lagos,Nigeria,Nairobi,Kenya,4182,2023-02-19 17:15:00,2023-02-19 23:18:00,On-Time,395286
FL00070,Kenya Airways,Nairobi,Kenya,Lusaka,Zambia,1860,2023-02-20 05:00:00,2023-02-20 07:38:00,On-Time,194032
FL00071,Arik Air,Accra,Ghana,Lusaka,Zambia,4500,2023-02-21 11:00:00,2023-02-21 16:57:00,On-Time,405795
FL00072,Dana Air,Enugu,Nigeria,Port Harcourt,Nigeria,155,2023-02-21 13:30:00,2023-02-21 14:10:00,On-Time,28924
FL00073,Ethiopian Airlines,Nairobi,Kenya,Port Harcourt,Nigeria,3906,2023-02-22 05:45:00,2023-02-22 11:06:00,Delayed,383464
FL00074,Air Peace,Enugu,Nigeria,Port Harcourt,Nigeria,155,2023-02-23 16:30:00,2023-02-23 17:35:00,On-Time,29586
